Int_no,Rue_1,Rue_2,Arrondissement,X,Y,long,lat
1436,Christophe-Colomb,Jacques-Casault,Ahuntsic - Cartierville,294616.75,5045782.62,-73.6304233277571,45.5518819309766
1437,Champagneur,Ogilvy,Villeray - Saint-Michel - Parc-Extension,294938.22,5043058.07,-73.6262511883652,45.5273701016886
1438,6 e Avenue,Saint-Zotique,Rosemont - Petite-Patrie,297576.58,5045948.88,-73.5925174263134,45.5534149854571
1439,Lille,Port-Royal,Ahuntsic - Cartierville,293820.37,5047900.54,-73.640670591381,45.5709275328656
1440,Hôtel-de-Ville,Mont-Royal,Plateau Mont-Royal,298192.16,5042464.47,-73.5845860755595,45.5220671039465
1441,Alphonse-D.-Roy,Notre-Dame,Mercier - Hochelaga - Maisonneuve,301553.94,5044058.9,-73.5415629624308,45.5364381605967
1442,8 e Avenue,Rosemont,Rosemont - Petite-Patrie,298403.34,5045730.02,-73.5819254501514,45.5514536933087
1443,Normanville,Saint-Zotique,Rosemont - Petite-Patrie,296700.7,5044549.58,-73.6037125056756,45.5408139639169
1444,Côte-Saint-Luc,Hampton/Heath,Côte-des-Neiges - Notre-Dame-de-Grâce,293905.07,5037428.96,-73.6393525914328,45.4767017054429
1445,Cavendish,Chester,Côte-des-Neiges - Notre-Dame-de-Grâce,293421.23,5036764.96,-73.6455257924447,45.4707190188768
1446,René-Lévesque,800 Face au Reine-Élizabeth,Ville-Marie,299471.4,5040123.5,-73.5681852677796,45.5010130468989
1447,Beauharnois,Charles-de-la-Tour,Ahuntsic - Cartierville,292862.02,5043261.55,-73.6528357156991,45.5291686194159
1448,Jeanne-Mance,Mont-Royal,Plateau Mont-Royal,297874.81,5041960.07,-73.5886412984851,45.5175252342436
1449,Jeanne-Mance,Maisonneuve,Ville-Marie,299461.93,5040919.57,-73.5683151103175,45.5081763478227
1450,Côte-Sainte-Catherine,Stirling,Côte-des-Neiges - Notre-Dame-de-Grâce,295550.54,5040981.06,-73.6183730483817,45.5086887559911
1451,Montigny,Tricentenaire,Rivières-des-Prairies - Pointe-aux-Trembles,304618.46,5056844.1,-73.5023292156944,45.6514905892905
1452,Jean-Talon,Normanville,Villeray - Saint-Michel - Parc-Extension,296154.06,5044892.37,-73.6107183378634,45.5438919392248
1453,86 e Avenue,Antoine-Chaudillon/Notre-Dame,Rivières-des-Prairies - Pointe-aux-Trembles,305698.54,5061410.67,-73.4884630078343,45.6925807712516
1454,Darlington,Goyer,Côte-des-Neiges - Notre-Dame-de-Grâce,294603.65,5041112.06,-73.6304938825643,45.5098543457564
1455,Centre,Ropery,Sud-Ouest,299550.77,5037767.67,-73.5671444495156,45.4798148441797
1456,Centre,Richmond,Sud-Ouest,300064.08,5038211.55,-73.5605828344554,45.4838127508368
1457,Dickson,Jumonville,Rosemont - Petite-Patrie,300734.28,5048297.02,-73.5520932125623,45.5745699196757
1458,Chambord,Fleury,Ahuntsic - Cartierville,292450.59,5046659.94,-73.6581887607755,45.5597412867753
1459,Saint-Urbain,Sauvé,Ahuntsic - Cartierville,292237.2,5045060.29,-73.6608810776114,45.5453433121539
1460,19 e Avenue,Jarry,Villeray - Saint-Michel - Parc-Extension,296640.96,5047726.06,-73.604530461017,45.5693962913108
1461,Pie-IX,face au 8211,Villeray - Saint-Michel - Parc-Extension,296676.88,5048032.5,-73.6040753612922,45.5721541530477
